"Datenbasis";"Wirtschaftszweig (WZ2008)";"Berichtsjahr";"Region";"Beschäftigtengrößenklassen";"Zählen";
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60280 Werneuchen, Stadt";"10  bis   49";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60280 Werneuchen, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60280 Werneuchen, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60296 Ziethen";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60296 Ziethen";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60296 Ziethen";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60296 Ziethen";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61005 Alt Zauche-Wußwerk";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61005 Alt Zauche-Wußwerk";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61005 Alt Zauche-Wußwerk";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61005 Alt Zauche-Wußwerk";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61017 Bersteland";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61017 Bersteland";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61017 Bersteland";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61017 Bersteland";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61020 Bestensee";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61020 Bestensee";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61020 Bestensee";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61020 Bestensee";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61061 Byhleguhre-Byhlen";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61061 Byhleguhre-Byhlen";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61061 Byhleguhre-Byhlen";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61061 Byhleguhre-Byhlen";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61097 Drahnsdorf";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61097 Drahnsdorf";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61097 Drahnsdorf";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61097 Drahnsdorf";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61112 Eichwalde";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61112 Eichwalde";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61112 Eichwalde";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61112 Eichwalde";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61164 Golßen, Stadt";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61164 Golßen, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61164 Golßen, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61164 Golßen, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61192 Groß Köris";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61192 Groß Köris";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61192 Groß Köris";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61192 Groß Köris";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61216 Halbe";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61216 Halbe";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61216 Halbe";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61216 Halbe";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61217 Heidesee";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61217 Heidesee";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61217 Heidesee";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61217 Heidesee";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61219 Heideblick";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61219 Heideblick";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61219 Heideblick";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61219 Heideblick";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61224 Jamlitz";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61224 Jamlitz";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61224 Jamlitz";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61224 Jamlitz";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61244 Kasel-Golzig";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61244 Kasel-Golzig";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61244 Kasel-Golzig";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61244 Kasel-Golzig";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61260 Königs Wusterhausen, Stadt";"0  bis     9";3;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61260 Königs Wusterhausen, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61260 Königs Wusterhausen, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61260 Königs Wusterhausen, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61265 Krausnick-Groß Wasserburg";"0  bis     9";1;
