"Datenbasis";"Berichtsjahr";"Region";"Beschäftigtengrößenklassen";"Zählen";
"Anzahl  Niederlassungen";"2018";"61164 Golßen, Stadt";"10  bis   49";10;
"Anzahl  Niederlassungen";"2018";"61164 Golßen, Stadt";"50  bis 249";5;
"Anzahl  Niederlassungen";"2018";"61164 Golßen, Stadt";"250 und mehr";1;
"Anzahl  Niederlassungen";"2018";"61192 Groß Köris";"0  bis     9";105;
"Anzahl  Niederlassungen";"2018";"61192 Groß Köris";"10  bis   49";9;
"Anzahl  Niederlassungen";"2018";"61192 Groß Köris";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"61192 Groß Köris";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61216 Halbe";"0  bis     9";81;
"Anzahl  Niederlassungen";"2018";"61216 Halbe";"10  bis   49";8;
"Anzahl  Niederlassungen";"2018";"61216 Halbe";"50  bis 249";5;
"Anzahl  Niederlassungen";"2018";"61216 Halbe";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61217 Heidesee";"0  bis     9";316;
"Anzahl  Niederlassungen";"2018";"61217 Heidesee";"10  bis   49";20;
"Anzahl  Niederlassungen";"2018";"61217 Heidesee";"50  bis 249";4;
"Anzahl  Niederlassungen";"2018";"61217 Heidesee";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61219 Heideblick";"0  bis     9";112;
"Anzahl  Niederlassungen";"2018";"61219 Heideblick";"10  bis   49";9;
"Anzahl  Niederlassungen";"2018";"61219 Heideblick";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"61219 Heideblick";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61224 Jamlitz";"0  bis     9";15;
"Anzahl  Niederlassungen";"2018";"61224 Jamlitz";"10  bis   49";1;
"Anzahl  Niederlassungen";"2018";"61224 Jamlitz";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"61224 Jamlitz";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61244 Kasel-Golzig";"0  bis     9";29;
"Anzahl  Niederlassungen";"2018";"61244 Kasel-Golzig";"10  bis   49";-;
"Anzahl  Niederlassungen";"2018";"61244 Kasel-Golzig";"50  bis 249";1;
"Anzahl  Niederlassungen";"2018";"61244 Kasel-Golzig";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61260 Königs Wusterhausen, Stadt";"0  bis     9";1402;
"Anzahl  Niederlassungen";"2018";"61260 Königs Wusterhausen, Stadt";"10  bis   49";157;
"Anzahl  Niederlassungen";"2018";"61260 Königs Wusterhausen, Stadt";"50  bis 249";23;
"Anzahl  Niederlassungen";"2018";"61260 Königs Wusterhausen, Stadt";"250 und mehr";4;
"Anzahl  Niederlassungen";"2018";"61265 Krausnick-Groß Wasserburg";"0  bis     9";22;
"Anzahl  Niederlassungen";"2018";"61265 Krausnick-Groß Wasserburg";"10  bis   49";4;
"Anzahl  Niederlassungen";"2018";"61265 Krausnick-Groß Wasserburg";"50  bis 249";2;
"Anzahl  Niederlassungen";"2018";"61265 Krausnick-Groß Wasserburg";"250 und mehr";1;
"Anzahl  Niederlassungen";"2018";"61308 Lieberose, Stadt";"0  bis     9";76;
"Anzahl  Niederlassungen";"2018";"61308 Lieberose, Stadt";"10  bis   49";2;
