AGS5;AGS;AGS-Bezeichnung;WZ3;WZ1-Code;WZ2-Code;WZ3-CodeNeu;WZ3-Code;WZ3-Name;insgesamt;SvB_0_bis_9;SvB_10_bis_49;SvB_50_bis_249;SvB_250_und_mehr;ID
64303;12064303;Märkische Höhe;;;;;;;19;19;0;0;0;128
64317;12064317;Müncheberg, Stadt;;;;;;;306;283;18;4;1;293
64336;12064336;Neuenhagen bei Berlin;;;;;;;836;778;45;13;0;148
64340;12064340;Neuhardenberg;;;;;;;96;88;6;2;0;317
64349;12064349;Neulewin;;;;;;;32;31;1;0;0;320
64365;12064365;Neutrebbin;;;;;;;61;57;3;1;0;352
64370;12064370;Oberbarnim;;;;;;;52;51;1;0;0;263
64371;12064371;Oderaue;;;;;;;50;48;2;0;0;346
64380;12064380;Petershagen/Eggersdorf;;;;;;;583;562;21;0;0;390
64388;12064388;Podelzig;;;;;;;14;14;0;0;0;287
64393;12064393;Prötzel;;;;;;;33;30;3;0;0;242
64408;12064408;Rehfelde;;;;;;;199;188;9;2;0;262
64417;12064417;Reichenow-Möglin;;;;;;;17;17;0;0;0;251
64420;12064420;Reitwein;;;;;;;16;16;0;0;0;327
64428;12064428;Rüdersdorf bei Berlin;;;;;;;681;596;74;9;2;59
64448;12064448;Seelow, Stadt;;;;;;;271;243;23;4;1;342
64472;12064472;Strausberg, Stadt;;;;;;;1103;977;105;19;2;389
64480;12064480;Treplin;;;;;;;21;21;0;0;0;283
64482;12064482;Vierlinden;;;;;;;65;57;8;0;0;360
64484;12064484;Waldsieversdorf;;;;;;;36;34;1;1;0;277
64512;12064512;Wriezen, Stadt;;;;;;;297;275;19;3;0;347
64538;12064538;Zechin;;;;;;;9;9;0;0;0;340
64539;12064539;Zeschdorf;;;;;;;39;38;1;0;0;45
65036;12065036;Birkenwerder;;;;;;;402;373;19;8;2;71
65084;12065084;Fürstenberg/Havel, Stadt;;;;;;;308;291;16;1;0;410
65096;12065096;Glienicke/Nordbahn;;;;;;;472;451;21;0;0;38
65100;12065100;Gransee, Stadt;;;;;;;299;270;24;5;0;139
65117;12065117;Großwoltersdorf;;;;;;;20;19;1;0;0;62
65136;12065136;Hennigsdorf, Stadt;;;;;;;849;740;79;25;5;202
65144;12065144;Hohen Neuendorf, Stadt;;;;;;;1016;958;53;4;1;418
65165;12065165;Kremmen, Stadt;;;;;;;296;268;20;8;0;191
65180;12065180;Leegebruch;;;;;;;219;205;11;3;0;146
65193;12065193;Liebenwalde, Stadt;;;;;;;179;168;11;0;0;420
65198;12065198;Löwenberger Land;;;;;;;314;287;22;4;1;273
65225;12065225;Mühlenbecker Land;;;;;;;566;541;21;4;0;381
65251;12065251;Oberkrämer;;;;;;;433;396;30;6;1;176
65256;12065256;Oranienburg, Stadt;;;;;;;1888;1700;143;40;5;419
65276;12065276;Schönermark;;;;;;;12;11;1;0;0;29
65301;12065301;Sonnenberg;;;;;;;14;13;1;0;0;98
65310;12065310;Stechlin;;;;;;;52;50;2;0;0;423
65332;12065332;Velten, Stadt;;;;;;;517;442;59;16;0;188
65356;12065356;Zehdenick, Stadt;;;;;;;538;485;47;6;0;199
66008;12066008;Altdöbern;;;;;;;97;90;7;0;0;286
66041;12066041;Bronkow;;;;;;;17;13;4;0;0;245
66052;12066052;Calau, Stadt;;;;;;;313;280;24;9;0;260
66064;12066064;Frauendorf;;;;;;;19;17;2;0;0;190
66104;12066104;Großkmehlen;;;;;;;40;34;5;1;0;93
66112;12066112;Großräschen, Stadt;;;;;;;326;276;40;10;0;382
66116;12066116;Grünewald;;;;;;;14;14;0;0;0;356
66120;12066120;Guteborn;;;;;;;19;18;1;0;0;268
66124;12066124;Hermsdorf;;;;;;;23;22;1;0;0;416
66132;12066132;Hohenbocka;;;;;;;28;26;2;0;0;355
66168;12066168;Kroppen;;;;;;;21;21;0;0;0;85
66176;12066176;Lauchhammer, Stadt;;;;;;;521;464;43;10;4;406
66188;12066188;Lindenau;;;;;;;18;16;2;0;0;231
66196;12066196;Lübbenau/Spreewald, Stadt;;;;;;;655;583;54;16;2;223
66202;12066202;Luckaitztal;;;;;;;25;24;1;0;0;266
66226;12066226;Neu-Seeland;;;;;;;9;8;1;0;0;362
66228;12066228;Neupetershain;;;;;;;33;31;2;0;0;276
66240;12066240;Ortrand, Stadt;;;;;;;132;119;11;2;0;69
66272;12066272;Ruhland, Stadt;;;;;;;177;165;11;1;0;415
66285;12066285;Schipkau;;;;;;;213;191;20;2;0;243
