REG;ID;AGS;AGS-Bezeichnung
3;275;12067493;Tauche
3;341;12067508;Vogelsang
3;170;12067520;Wendisch Rietz
3;323;12067528;Wiesenau
2;411;12067544;Woltersdorf
3;285;12067552;Ziltendorf
3;162;12068052;Breddin
3;97;12068072;Dabergotz
3;141;12068109;Dreetz
3;114;12068117;Fehrbellin
3;195;12068181;Heiligengrabe
3;303;12068188;Herzberg (Mark)
3;377;12068264;Kyritz, Stadt
3;301;12068280;Lindow (Mark), Stadt
3;177;12068306;Märkisch Linden
3;404;12068320;Neuruppin, Stadt
3;72;12068324;Neustadt (Dosse), Stadt
3;426;12068353;Rheinsberg, Stadt
3;75;12068372;Rüthnick
3;226;12068409;Sieversdorf-Hohenofen
3;46;12068413;Storbeck-Frankendorf
3;259;12068417;Stüdenitz-Schönermark
3;205;12068425;Temnitzquell
3;213;12068426;Temnitztal
3;87;12068437;Vielitzsee
3;218;12068452;Walsleben
3;157;12068468;Wittstock/Dosse, Stadt
3;403;12068477;Wusterhausen/Dosse
3;112;12068501;Zernitz-Lohm
3;37;12069017;Beelitz, Stadt
3;221;12069018;Beetzsee
3;219;12069019;Beetzseeheide
3;237;12069020;Bad Belzig, Stadt
3;149;12069028;Bensdorf
3;86;12069052;Borkheide
3;136;12069056;Borkwalde
3;99;12069076;Brück, Stadt
3;122;12069089;Buckautal
3;182;12069216;Golzow
3;144;12069224;Görzke
3;49;12069232;Gräben
3;77;12069249;Groß Kreutz (Havel)
3;220;12069270;Havelsee, Stadt
2;292;12069304;Kleinmachnow
3;16;12069306;Kloster Lehnin
3;145;12069345;Linthe
2;240;12069397;Michendorf
3;252;12069402;Mühlenfließ
3;74;12069448;Niemegk, Stadt
2;48;12069454;Nuthetal
3;152;12069460;Päwesin
3;15;12069470;Planebruch
3;76;12069474;Planetal
3;185;12069485;Rabenstein/Fläming
3;175;12069537;Rosenau
3;151;12069541;Roskow
2;421;12069590;Schwielowsee
3;230;12069596;Seddiner See
2;101;12069604;Stahnsdorf
2;116;12069616;Teltow, Stadt
3;83;12069632;Treuenbrietzen, Stadt
3;94;12069648;Wenzlow
2;206;12069656;Werder (Havel), Stadt
3;102;12069665;Wiesenburg/Mark
3;215;12069680;Wollin
3;201;12069688;Wusterwitz
3;167;12069696;Ziesar, Stadt
3;25;12070008;Bad Wilsnack, Stadt
3;131;12070028;Berge
3;104;12070052;Breese
3;65;12070060;Cumlosen
3;314;12070096;Gerdshagen
3;194;12070125;Groß Pankow (Prignitz)
3;247;12070145;Gülitz-Reetz
3;241;12070149;Gumtow
3;374;12070153;Halenbeck-Rohlsdorf
3;156;12070173;Karstädt
3;309;12070222;Kümmernitztal
3;166;12070236;Lanz
3;158;12070241;Legde/Quitzöbel
3;169;12070244;Lenzen (Elbe), Stadt
3;159;12070246;Lenzerwische
3;171;12070266;Marienfließ
3;310;12070280;Meyenburg, Stadt
3;105;12070296;Perleberg, Stadt
3;125;12070300;Pirow
3;32;12070302;Plattenburg
3;196;12070316;Pritzwalk, Stadt
3;305;12070325;Putlitz, Stadt
3;68;12070348;Rühstädt
3;130;12070393;Triglitz
3;64;12070416;Weisen
3;31;12070424;Wittenberge, Stadt
3;339;12071028;Briesen
3;330;12071032;Burg (Spreewald)
3;41;12071041;Dissen-Striesow
3;326;12071044;Döbern, Stadt
3;315;12071052;Drachhausen
3;358;12071057;Drebkau, Stadt
3;299;12071060;Drehnow
3;316;12071074;Felixsee
3;393;12071076;Forst (Lausitz), Stadt
3;319;12071153;Groß Schacksdorf-Simmersdorf
3;279;12071160;Guben, Stadt
3;371;12071164;Guhrow
3;386;12071176;Heinersbrück
3;298;12071185;Hornow-Wadelsdorf
3;332;12071189;Jämlitz-Klein Düben
3;26;12071193;Jänschwalde
3;367;12071244;Kolkwitz
3;328;12071294;Neiße-Malxetal
3;385;12071301;Neuhausen/Spree
3;297;12071304;Peitz, Stadt
3;364;12071337;Schenkendöbern
3;57;12071341;Schmogrow-Fehrow
3;336;12071372;Spremberg, Stadt
3;313;12071384;Tauer
3;394;12071386;Teichland
3;335;12071392;Tschernitz
3;300;12071401;Turnow-Preilack
3;337;12071408;Welzow, Stadt
3;58;12071412;Werben
3;392;12071414;Wiesengrund
3;142;12072002;Am Mellensee
3;107;12072014;Baruth/Mark, Stadt
2;164;12072017;Blankenfelde-Mahlow
3;79;12072053;Dahme/Mark, Stadt
3;82;12072055;Dahmetal
2;165;12072120;Großbeeren
3;24;12072157;Ihlow
3;147;12072169;Jüterbog, Stadt
3;137;12072232;Luckenwalde, Stadt
2;163;12072240;Ludwigsfelde, Stadt
3;179;12072297;Niedergörsdorf
3;22;12072298;Niederer Fläming
3;27;12072312;Nuthe-Urstromtal
2;207;12072340;Rangsdorf
3;20;12072426;Trebbin, Stadt
3;172;12072477;Zossen, Stadt
3;133;12073008;Angermünde, Stadt
3;33;12073032;Berkholz-Meyenburg
3;413;12073069;Boitzenburger Land
3;56;12073085;Brüssow, Stadt
3;307;12073093;Carmzow-Wallmow
3;422;12073097;Casekow
3;134;12073157;Flieth-Stegelitz
3;304;12073189;Gartz (Oder), Stadt
3;63;12073201;Gerswalde
3;302;12073216;Göritz
3;308;12073225;Gramzow
3;55;12073261;Grünow
3;428;12073309;Hohenselchow-Groß Pinnow
3;414;12073384;Lychen, Stadt
3;224;12073386;Mark Landin
3;366;12073393;Mescherin
3;427;12073396;Milmersdorf
3;296;12073404;Mittenwalde
3;368;12073429;Nordwestuckermark
3;295;12073430;Oberuckersee
3;250;12073440;Pinnow
3;129;12073452;Prenzlau, Stadt
3;369;12073458;Randowtal
3;306;12073490;Schenkenberg
3;351;12073505;Schöneberg
3;370;12073520;Schönfeld
3;425;12073532;Schwedt/Oder, Stadt
3;365;12073565;Tantow
3;14;12073569;Temmen-Ringenwalde
3;424;12073572;Templin, Stadt
3;375;12073578;Uckerfelde
3;42;12073579;Uckerland
3;54;12073603;Passow
3;294;12073645;Zichow
